timestamp;electricityDemand;spaceHeatingDemand;domesticHotWaterDemand
01.01.2021 00:00;0.43;3.691918797;0.163
01.01.2021 01:00;0.36;3.903087452;0.000
01.01.2021 02:00;0.35;4.065542296;0.000
01.01.2021 03:00;0.44;4.225939394;0.163
01.01.2021 04:00;0.52;4.4953611;0.325
01.01.2021 05:00;0.49;4.630648372;0.488
01.01.2021 06:00;2.42;3.968956075;9.184
01.01.2021 07:00;1.97;3.510484144;8.046
01.01.2021 08:00;2.60;3.52854846;6.015
01.01.2021 09:00;1.78;3.440926834;3.414
01.01.2021 10:00;0.99;3.691561266;1.788
01.01.2021 11:00;3.91;2.60826604;2.438
01.01.2021 12:00;1.63;0.015989067;0.163
01.01.2021 13:00;0.91;2.692765916;4.714
01.01.2021 14:00;0.93;1.470201592;0.325
01.01.2021 15:00;1.51;1.211517131;0.325
01.01.2021 16:00;1.20;2.721517395;5.852
01.01.2021 17:00;1.55;3.373104319;0.813
01.01.2021 18:00;1.84;3.514824222;2.438
01.01.2021 19:00;6.11;2.296702095;1.219
01.01.2021 20:00;6.78;2.402326091;1.707
01.01.2021 21:00;3.05;3.144251021;2.763
01.01.2021 22:00;1.47;3.785650268;0.000
01.01.2021 23:00;0.68;4.607266454;0.000
02.01.2021 00:00;0.47;5.140551549;0.000
02.01.2021 01:00;0.44;5.390641357;0.000
02.01.2021 02:00;0.36;5.57558198;0.000
02.01.2021 03:00;0.36;5.778540582;0.000
02.01.2021 04:00;0.42;5.8882061;0.650
02.01.2021 05:00;0.48;6.004032584;2.276
02.01.2021 06:00;2.56;5.408067134;8.209
02.01.2021 07:00;2.93;4.554196249;7.803
02.01.2021 08:00;2.83;4.456033643;11.541
02.01.2021 09:00;1.92;4.733742843;5.202
02.01.2021 10:00;2.23;4.86365911;0.569
02.01.2021 11:00;1.69;4.341340324;0.000
02.01.2021 12:00;0.58;0.920090602;0.650
02.01.2021 13:00;0.85;1.213574858;2.601
02.01.2021 14:00;1.40;1.308958081;5.527
02.01.2021 15:00;1.14;3.217125565;0.325
