stn	time.yy	time.mm	time.dd	time.hh	tre200h0	wetbulb	prestahs	ure200h0	dew	gls	dni	str.diffus	fkl010h0	oli000h0
PAY	2021	1	1	0	-0.2	-0.2	94.77	99.7	-0.26	0	0	0	0.6	317
PAY	2021	1	1	1	-0.2	-0.3	94.77	99.3	-0.34	0	0	0	0.5	317
PAY	2021	1	1	2	-0.3	-0.2	94.79	100	-0.3	0	0	0	1	316
PAY	2021	1	1	3	-0.2	-0.2	94.8	100	-0.2	0	0	0	0.2	316
PAY	2021	1	1	4	-0.3	-0.2	94.81	100	-0.3	0	0	0	0.3	317
PAY	2021	1	1	5	-0.3	-0.3	94.82	100	-0.3	0	0	0	0.1	317
PAY	2021	1	1	6	0	0	94.85	98.1	-0.38	0	0	0	1	305
PAY	2021	1	1	7	-0.2	-0.2	94.88	99.3	-0.34	0	0	0	0.6	303
PAY	2021	1	1	8	-0.4	-0.3	94.93	99.6	-0.48	5	0	23	0.5	307
PAY	2021	1	1	9	0.2	-0.1	94.95	98.1	-0.18	72	160.756807	39	0.5	305
PAY	2021	1	1	10	0.5	0.2	94.97	96.9	-0.12	141	329.7165659	45	1	300
PAY	2021	1	1	11	0.8	0.5	94.95	96.4	0.08	170	364.0842374	47	1.2	311
PAY	2021	1	1	12	1	0.7	94.91	95.8	0.16	194	429.6678987	47	1.9	296
PAY	2021	1	1	13	1.3	0.9	94.89	94.1	0.12	172	421.4132426	44	2.3	296
PAY	2021	1	1	14	1.3	0.9	94.9	95	0.3	108	88.7726498	88	2.1	297
PAY	2021	1	1	15	1.3	1	94.92	93.7	0.04	57	222.949498	32	1.7	308
PAY	2021	1	1	16	1.1	0.9	94.96	95	0.1	10	0	0	1.5	307
PAY	2021	1	1	17	1.4	0.6	94.98	84.4	-1.72	0	0	0	2	304
PAY	2021	1	1	18	1.4	0.4	94.99	83.3	-1.94	0	0	0	3.3	304
PAY	2021	1	1	19	0.9	0.3	95.01	87.8	-1.54	0	0	0	3	303
PAY	2021	1	1	20	0.9	0.2	95.05	88.2	-1.46	0	0	0	2.7	302
PAY	2021	1	1	21	0.9	0.2	95.06	89.3	-1.24	0	0	0	2.5	303
