stn	time.yy	time.mm	time.dd	time.hh	str.diffus	wetbulb	gls	prestahs	tre200h0	ure200h0	fkl010h0	dkl010h0	dni
PAY	2021	1	1	0	0	-0.2	0	947.7	-0.2	99.7	0.6	149	0
PAY	2021	1	1	1	0	-0.3	0	947.7	-0.2	99.3	0.5	117	0
PAY	2021	1	1	2	0	-0.2	0	947.9	-0.3	100	1	107	0
PAY	2021	1	1	3	0	-0.2	0	948	-0.2	100	0.2	117	0
PAY	2021	1	1	4	0	-0.2	0	948.1	-0.3	100	0.3	108	0
PAY	2021	1	1	5	0	-0.3	0	948.2	-0.3	100	0.1	90	0
PAY	2021	1	1	6	0	0	0	948.5	0	98.1	1	229	0
PAY	2021	1	1	7	0	-0.2	0	948.8	-0.2	99.3	0.6	135	0
PAY	2021	1	1	8	0	-0.3	5	949.3	-0.4	99.6	0.5	121	58.11106373
PAY	2021	1	1	9	0	-0.1	72	949.5	0.2	98.1	0.5	117	350.7421243
PAY	2021	1	1	10	0	0.2	141	949.7	0.5	96.9	1	101	484.2712061
PAY	2021	1	1	11	0	0.5	170	949.5	0.8	96.4	1.2	37	503.2058565
PAY	2021	1	1	12	0	0.7	194	949.1	1	95.8	1.9	354	567.0447098
PAY	2021	1	1	13	0	0.9	172	948.9	1.3	94.1	2.3	31	566.2740447
PAY	2021	1	1	14	0	0.9	108	949	1.3	95	2.1	3	479.3723089
PAY	2021	1	1	15	0	1	57	949.2	1.3	93.7	1.7	43	508.3248555
PAY	2021	1	1	16	0	0.9	10	949.6	1.1	95	1.5	42	0
PAY	2021	1	1	17	0	0.6	0	949.8	1.4	84.4	2	30	0
PAY	2021	1	1	18	0	0.4	0	949.9	1.4	83.3	3.3	40	0
PAY	2021	1	1	19	0	0.3	0	950.1	0.9	87.8	3	37	0
PAY	2021	1	1	20	0	0.2	0	950.5	0.9	88.2	2.7	25	0
PAY	2021	1	1	21	0	0.2	0	950.6	0.9	89.3	2.5	23	0
PAY	2021	1	1	22	0	0	0	950.8	0.6	90.5	1.4	63	0
PAY	2021	1	1	23	0	0.1	0	950.8	0.5	92.3	1.2	75	0
PAY	2021	1	2	0	0	0.1	0	951	0.5	91.6	1.5	65	0
PAY	2021	1	2	1	0	0.1	0	951	0.9	86.2	2.3	41	0
PAY	2021	1	2	2	0	0.2	0	950.9	1	85.6	3.3	38	0
PAY	2021	1	2	3	0	0.2	0	950.7	0.7	89.5	3.1	34	0
PAY	2021	1	2	4	0	0.2	0	950.5	0.8	89	3.2	42	0
PAY	2021	1	2	5	0	0.2	0	950.4	0.8	88.8	3.5	43	0
PAY	2021	1	2	6	0	0.3	0	950.4	1	87.7	3.6	40	0
PAY	2021	1	2	7	0	0.2	0	950.3	1	86	4	42	0
PAY	2021	1	2	8	0	0.1	1	950.4	1.1	83.5	4.3	42	11.58920421
PAY	2021	1	2	9	0	0.2	15	950.4	1.1	85.2	4.6	40	72.87296891
PAY	2021	1	2	10	0	0.2	25	950.5	1.1	84.7	4.7	41	85.59750507
PAY	2021	1	2	11	0	0.1	39	950.2	1.2	81.9	5.5	42	115.0117433
PAY	2021	1	2	12	0	0.3	75	949.7	1.2	82.7	5.4	44	218.1954514
PAY	2021	1	2	13	0	0.2	39	949.6	1.3	81.7	5.2	45	127.5978341
PAY	2021	1	2	14	0	0.2	29	949.8	1	84.4	5.9	46	127.5015047
PAY	2021	1	2	15	0	0.1	14	950.1	0.7	87.9	5.5	47	122.3162559
PAY	2021	1	2	16	0	0	3	950	0.7	86.5	4.7	44	0
PAY	2021	1	2	17	0	-0.2	0	949.9	0.5	86.9	4.6	42	0
PAY	2021	1	2	18	0	-0.3	0	950	0.5	84.4	4.4	43	0
PAY	2021	1	2	19	0	-0.4	0	950.2	0.5	83.9	4.1	46	0
PAY	2021	1	2	20	0	-0.5	0	950.5	0.6	79.8	3.7	53	0
PAY	2021	1	2	21	0	-0.6	0	950.6	0.2	86	3.5	52	0
PAY	2021	1	2	22	0	-0.7	0	950.6	0.1	86.3	3.4	52	0
PAY	2021	1	2	23	0	-0.8	0	950.5	-0.2	88.4	2.9	48	0
PAY	2021	1	3	0	0	-0.8	0	950.5	-0.2	89	2.1	43	0
PAY	2021	1	3	1	0	-0.7	0	950.5	-0.4	93.1	2.4	59	0
PAY	2021	1	3	2	0	-0.8	0	950.6	-0.2	89.3	3	44	0
PAY	2021	1	3	3	0	-0.9	0	950.5	-0.3	89.3	3	49	0
PAY	2021	1	3	4	0	-1	0	950.4	-0.2	86.4	1.6	67	0
PAY	2021	1	3	5	0	-1	0	950.6	-0.3	86.7	1.6	60	0
PAY	2021	1	3	6	0	-1	0	950.7	-0.1	84.3	2.2	65	0
PAY	2021	1	3	7	0	-1	0	950.9	-0.3	86.4	2.1	67	0
PAY	2021	1	3	8	0	-1.1	4	951.3	-0.3	86	1.8	62	46.1619426
PAY	2021	1	3	9	0	-1.1	38	951.5	-0.1	83.5	1.6	43	184.002606
PAY	2021	1	3	10	0	-0.8	69	951.8	0.3	81.5	2.1	53	235.4196331
PAY	2021	1	3	11	0	-0.7	83	951.7	0.5	80.3	2.2	55	243.7734269
PAY	2021	1	3	12	0	-0.7	104	951.6	0.6	76.7	2.4	45	301.0555292
PAY	2021	1	3	13	0	-0.5	121	951.6	1	77.3	2.4	49	393.2796292
PAY	2021	1	3	14	0	-0.4	103	951.8	1.1	77.2	2	55	448.3950474
PAY	2021	1	3	15	0	-0.4	73	952	0.9	76.4	1.8	38	624.5741148
PAY	2021	1	3	16	0	-0.5	16	952.2	0.4	83.4	1.5	32	0
PAY	2021	1	3	17	0	-0.7	0	952.4	0	85.8	1.3	29	0
PAY	2021	1	3	18	0	-0.9	0	952.6	-0.4	90.2	0.9	41	0
PAY	2021	1	3	19	0	-1.1	0	952.9	-0.8	92.1	0.7	39	0
PAY	2021	1	3	20	0	-1.5	0	952.9	-1.3	92.5	1.1	38	0
PAY	2021	1	3	21	0	-1.6	0	953.2	-0.9	89.5	1.2	37	0
PAY	2021	1	3	22	0	-2.2	0	953.3	-2.1	94.6	1.2	312	0
PAY	2021	1	3	23	0	-2.8	0	953.2	-2.5	94.1	1.1	346	0
PAY	2021	1	4	0	0	-2.6	0	953.1	-2.4	94.1	1.2	75	0
PAY	2021	1	4	1	0	-2.3	0	952.9	-1.7	92.6	1.1	63	0
PAY	2021	1	4	2	0	-1.9	0	953.1	-1.4	92.2	0.7	51	0
PAY	2021	1	4	3	0	-1.8	0	953	-1.3	90	1	58	0
PAY	2021	1	4	4	0	-1.7	0	952.7	-1.1	90	1.3	58	0
PAY	2021	1	4	5	0	-1.6	0	952.6	-1.1	88.8	1.4	32	0
PAY	2021	1	4	6	0	-1.8	0	952.7	-1.1	84.3	1.8	62	0
PAY	2021	1	4	7	0	-2	0	952.8	-1.2	84.3	2.7	70	0
PAY	2021	1	4	8	0	-2	2	952.9	-1.2	87.3	2.2	73	22.952851
PAY	2021	1	4	9	0	-1.9	8	953	-1.2	85	2.7	48	38.58723031
PAY	2021	1	4	10	0	-2.1	22	952.9	-1.2	83.3	3.5	60	74.76737478
PAY	2021	1	4	11	0	-2	28	952.1	-1	83	3.2	58	81.87467206
PAY	2021	1	4	12	0	-1.9	23	951.5	-0.7	81.4	3.3	70	66.22672002
PAY	2021	1	4	13	0	-1.7	41	950.8	-0.6	80.5	3.9	67	132.3423367
PAY	2021	1	4	14	0	-1.6	19	950.6	-0.4	78.9	3.1	55	81.87084418
PAY	2021	1	4	15	0	-1.4	5	950.5	-0.2	78.1	3.5	50	41.87663888
PAY	2021	1	4	16	0	-1.4	0	950.5	-0.2	78.4	4.4	41	0
PAY	2021	1	4	17	0	-1.5	0	950.4	-0.3	78	4.5	38	0
PAY	2021	1	4	18	0	-1.5	0	950.4	-0.3	78.8	4.4	38	0
PAY	2021	1	4	19	0	-1.5	0	950.6	-0.3	78.5	4	41	0
PAY	2021	1	4	20	0	-1.5	0	950.5	-0.4	79.3	3.9	37	0
PAY	2021	1	4	21	0	-1.6	0	950.7	-0.4	78.4	3.7	36	0
PAY	2021	1	4	22	0	-1.6	0	950.8	-0.6	81.5	2.2	41	0
PAY	2021	1	4	23	0	-1.7	0	950.9	-0.7	81.8	2.1	37	0
PAY	2021	1	5	0	0	-1.7	0	951.1	-0.8	83.4	1.6	38	0
PAY	2021	1	5	1	0	-1.7	0	951.6	-0.8	80.9	2	27	0
PAY	2021	1	5	2	0	-1.6	0	952.1	-0.6	84.9	1.2	75	0
PAY	2021	1	5	3	0	-1.6	0	952.1	-0.9	88.1	0.8	97	0
PAY	2021	1	5	4	0	-1.7	0	952.2	-0.9	85.3	0.8	97	0
PAY	2021	1	5	5	0	-1.7	0	952	-1	89.1	0.9	96	0
PAY	2021	1	5	6	0	-1.7	0	952.2	-1	86.7	1	54	0
PAY	2021	1	5	7	0	-1.6	0	952.3	-1	87.7	1.3	45	0
PAY	2021	1	5	8	0	-1.6	3	952.7	-0.9	85.4	1.8	29	34.19254777
PAY	2021	1	5	9	0	-1.6	20	952.6	-0.8	86.5	2.3	34	96.03910737
PAY	2021	1	5	10	0	-1.5	36	952.8	-0.6	85.1	2.3	49	121.8186855
PAY	2021	1	5	11	0	-1.3	46	952.6	-0.5	84.3	1.8	45	133.8714995
PAY	2021	1	5	12	0	-1.3	65	952.3	-0.4	83.5	2.2	37	186.1134222
PAY	2021	1	5	13	0	-1.3	60	951.8	-0.3	83.4	2.3	32	192.2787287
PAY	2021	1	5	14	0	-1.2	39	951.9	-0.2	80.8	2.3	38	166.282261
PAY	2021	1	5	15	0	-1.3	18	952.3	-0.4	84.6	2.4	45	147.5266122
PAY	2021	1	5	16	0	-1.3	3	952.5	-0.5	86.2	1.8	52	0
PAY	2021	1	5	17	0	-1.4	0	952.6	-0.5	83.9	1.9	41	0
PAY	2021	1	5	18	0	-1.4	0	952.6	-0.5	82.8	2.3	34	0
PAY	2021	1	5	19	0	-1.5	0	952.5	-0.6	82.8	2.3	36	0
PAY	2021	1	5	20	0	-1.5	0	952.7	-0.7	83.3	2.6	39	0
PAY	2021	1	5	21	0	-1.8	0	952.8	-0.9	79.3	2.7	39	0
PAY	2021	1	5	22	0	-2	0	952.9	-1	80.3	2.9	48	0
PAY	2021	1	5	23	0	-2.2	0	952.9	-1.2	79.5	2.7	58	0
PAY	2021	1	6	0	0	-2.2	0	952.9	-1.3	82.1	1.9	47	0
PAY	2021	1	6	1	0	-2.2	0	953	-1.3	81.6	1.5	54	0
PAY	2021	1	6	2	0	-2.3	0	953.5	-1.3	80.5	2	35	0
PAY	2021	1	6	3	0	-2.4	0	953.6	-1.2	77.2	1.8	36	0
PAY	2021	1	6	4	0	-2.5	0	953.4	-1.1	73.6	1	45	0
PAY	2021	1	6	5	0	-2.3	0	953.4	-1.3	81.1	1.5	121	0
PAY	2021	1	6	6	0	-2.3	0	953.5	-1.4	81.4	2.1	188	0
