time.yy;time.mm;time.dd;time.hh;tre200h0;gls;str.diffus;Rel_Hum;wind_speed;pressure;ground_temp
2021;1;1;0;-0.2;0.0;0;99.7;-0.26;94.77;11.212383833599244
2021;1;1;1;-0.2;0.0;0;99.3;-0.34;94.77;11.210439513774318
2021;1;1;2;-0.3;0.0;0;100.0;-0.3;94.79;11.208492479134064
2021;1;1;3;-0.2;0.0;0;100.0;-0.2;94.8;11.206542730680155
2021;1;1;4;-0.3;0.0;0;100.0;-0.3;94.81;11.204590269415657
2021;1;1;5;-0.3;0.0;0;100.0;-0.3;94.82;11.202635096345034
2021;1;1;6;0.0;0.0;0;98.1;-0.38;94.85;11.200677212474147
2021;1;1;7;-0.2;0.0;0;99.3;-0.34;94.88;11.198716618810241
2021;1;1;8;-0.4;0.0;23;99.6;-0.48;94.93;11.19675331636197
2021;1;1;9;0.2;160.756807;39;98.1;-0.18;94.95;11.194787306139375
2021;1;1;10;0.5;329.7165659;45;96.9;-0.12;94.97;11.192818589153882
2021;1;1;11;0.8;364.0842374;47;96.4;0.08;94.95;11.190847166418322
2021;1;1;12;1.0;429.6678987;47;95.8;0.16;94.91;11.188873038946912
2021;1;1;13;1.3;421.4132426;44;94.1;0.12;94.89;11.186896207755261
2021;1;1;14;1.3;88.7726498;88;95.0;0.3;94.9;11.184916673860371
2021;1;1;15;1.3;222.949498;32;93.7;0.04;94.92;11.182934438280633
2021;1;1;16;1.1;0.0;0;95.0;0.1;94.96;11.180949502035823
2021;1;1;17;1.4;0.0;0;84.4;-1.72;94.98;11.178961866147116
2021;1;1;18;1.4;0.0;0;83.3;-1.94;94.99;11.176971531637067
2021;1;1;19;0.9;0.0;0;87.8;-1.54;95.01;11.174978499529626
2021;1;1;20;0.9;0.0;0;88.2;-1.46;95.05;11.17298277085013
2021;1;1;21;0.9;0.0;0;89.3;-1.24;95.06;11.170984346625293
2021;1;1;22;0.6;0.0;0;90.5;-1.3;95.08;11.168983227883235
2021;1;1;23;0.5;0.0;0;92.3;-1.04;95.08;11.166979415653444
2021;1;2;0;0.5;0.0;0;91.6;-1.18;95.1;11.164972910966803
2021;1;2;1;0.9;0.0;0;86.2;-1.86;95.1;11.162963714855579
2021;1;2;2;1.0;0.0;0;85.6;-1.88;95.09;11.16095182835342
2021;1;2;3;0.7;0.0;0;89.5;-1.4;95.07;11.158937252495365
2021;1;2;4;0.8;0.0;0;89.0;-1.4;95.05;11.156919988317828
2021;1;2;5;0.8;0.0;0;88.8;-1.44;95.04;11.154900036858615
2021;1;2;6;1.0;0.0;0;87.7;-1.46;95.04;11.152877399156907
2021;1;2;7;1.0;0.0;0;86.0;-1.8;95.03;11.150852076253269
2021;1;2;8;1.1;0.0;41;83.5;-2.2;95.04;11.148824069189653
2021;1;2;9;1.1;0.0;90;85.2;-1.86;95.04;11.146793379009381
2021;1;2;10;1.1;0.0;109;84.7;-1.96;95.05;11.144760006757167
2021;1;2;11;1.2;0.0;127;81.9;-2.42;95.02;11.142723953479097
2021;1;2;12;1.2;0.0;79;82.7;-2.26;94.97;11.140685220222638
2021;1;2;13;1.3;0.0;104;81.7;-2.36;94.96;11.138643808036637
2021;1;2;14;1.0;0.0;77;84.4;-2.12;94.98;11.136599717971322
2021;1;2;15;0.7;0.0;32;87.9;-1.72;95.01;11.134552951078291
2021;1;2;16;0.7;0.0;0;86.5;-2.0;95.0;11.132503508410522
2021;1;2;17;0.5;0.0;0;86.9;-2.12;94.99;11.13045139102238
2021;1;2;18;0.5;0.0;0;84.4;-2.62;95.0;11.128396599969586
2021;1;2;19;0.5;0.0;0;83.9;-2.72;95.02;11.126339136309253
2021;1;2;20;0.6;0.0;0;79.8;-3.44;95.05;11.124279001099865
2021;1;2;21;0.2;0.0;0;86.0;-2.6;95.06;11.122216195401274
2021;1;2;22;0.1;0.0;0;86.3;-2.64;95.06;11.120150720274715
2021;1;2;23;-0.2;0.0;0;88.4;-2.52;95.05;11.11808257678279
2021;1;3;0;-0.2;0.0;0;89.0;-2.4;95.05;11.116011765989478
2021;1;3;1;-0.4;0.0;0;93.1;-1.78;95.05;11.113938288960124
2021;1;3;2;-0.2;0.0;0;89.3;-2.34;95.06;11.111862146761453
2021;1;3;3;-0.3;0.0;0;89.3;-2.44;95.05;11.109783340461554
