time.yy;time.mm;time.dd;time.hh;tre200h0;gls;str.diffus;Rel_Hum;wind_speed;pressure;ground_temp
2021;1;1;0;4.6;0;0;89.6;0.5;964.1;11.203852138550616
2021;1;1;1;5.3;0;0;81.2;0.3;964.1;11.201909298191973
2021;1;1;2;5.1;0;0;81.3;0.2;964.1;11.19996374508375
2021;1;1;3;5.0;0;0;73.0;0.5;964.1;11.198015480226859
2021;1;1;4;4.9;0;0;72.3;0.5;964.1;11.196064504623605
2021;1;1;5;4.8;0;0;74.2;0.9;964.1;11.194110819277686
2021;1;1;6;4.7;0;0;73.0;0.4;964.1;11.192154425194193
2021;1;1;7;4.6;0;0;71.8;1.5;964.1;11.190195323379616
2021;1;1;8;4.6;1;1;73.2;0.9;964.1;11.18823351484183
2021;1;1;9;4.8;18;18;73.2;3.8;964.1;11.18626900059011
2021;1;1;10;4.9;33;33;67.6;2.1;964.1;11.184301781635117
2021;1;1;11;5.1;46;46;81.3;1.5;964.1;11.18233185898891
2021;1;1;12;5.2;55;55;67.7;1.9;964.1;11.18035923366493
2021;1;1;13;5.3;49;49;66.7;2.4;964.4;11.178383906678018
2021;1;1;14;5.3;36;36;67.9;1.3;964.6;11.176405879044399
2021;1;1;15;5.1;19;19;81.3;3.1;964.9;11.17442515178169
2021;1;1;16;4.9;1;1;81.3;1.1;965.1;11.172441725908893
2021;1;1;17;4.6;0;0;85.3;1.7;965.4;11.170455602446403
2021;1;1;18;4.2;0;0;85.3;0.8;965.6;11.168466782415997
2021;1;1;19;4.3;0;0;81.3;0.9;965.9;11.166475266840852
2021;1;1;20;3.9;0;0;85.3;1.0;966.1;11.164481056745515
2021;1;1;21;3.9;0;0;81.3;0.4;966.4;11.162484153155926
2021;1;1;22;3.8;0;0;81.3;0.2;966.6;11.16048455709942
2021;1;1;23;3.7;0;0;85.3;0.2;966.9;11.1584822696047
2021;1;2;0;3.5;0;0;85.3;0.3;967.1;11.156477291701869
2021;1;2;1;3.4;0;0;85.3;2.4;967.4;11.154469624422404
2021;1;2;2;3.3;0;0;85.3;4.2;967.6;11.152459268799172
