timestamp;electricityDemand;spaceHeatingDemand;domesticHotWaterDemand
01.01.2021 00:00;6.63;0.00;2.67
01.01.2021 01:00;6.63;0.00;1.33
01.01.2021 02:00;6.63;0.00;0.33
01.01.2021 03:00;6.63;0.00;0.33
01.01.2021 04:00;6.63;0.00;0.67
01.01.2021 05:00;11.93;0.00;12.66
01.01.2021 06:00;44.50;51.58;33.31
01.01.2021 07:00;12.69;80.53;26.98
01.01.2021 08:00;7.39;86.09;22.32
01.01.2021 09:00;7.39;79.87;16.99
01.01.2021 10:00;7.39;75.92;14.99
01.01.2021 11:00;7.39;71.71;13.99
01.01.2021 12:00;44.50;32.50;20.98
01.01.2021 13:00;12.69;55.27;18.65
01.01.2021 14:00;7.39;63.08;10.66
01.01.2021 15:00;7.39;61.05;9.33
01.01.2021 16:00;7.39;60.67;10.66
01.01.2021 17:00;12.69;49.99;18.65
01.01.2021 18:00;44.50;24.15;26.31
01.01.2021 19:00;55.10;12.36;26.65
01.01.2021 20:00;12.69;53.97;20.65
01.01.2021 21:00;11.93;0.00;14.99
01.01.2021 22:00;11.93;0.00;8.33
01.01.2021 23:00;6.63;0.00;6.33
02.01.2021 00:00;6.63;0.00;2.57
02.01.2021 01:00;6.63;0.00;2.85
02.01.2021 02:00;6.63;0.00;1.71
02.01.2021 03:00;6.63;0.00;0.57
02.01.2021 04:00;6.63;0.00;0.57
02.01.2021 05:00;11.93;0.00;3.43
02.01.2021 06:00;44.49;54.67;9.42
02.01.2021 07:00;12.69;85.87;15.98
02.01.2021 08:00;7.39;89.92;25.97
02.01.2021 09:00;7.39;78.60;25.68
02.01.2021 10:00;7.39;68.85;23.12
02.01.2021 11:00;7.39;60.20;24.83
02.01.2021 12:00;44.50;19.29;25.11
02.01.2021 13:00;12.69;40.12;19.98
02.01.2021 14:00;7.39;48.98;15.98
02.01.2021 15:00;7.39;49.25;12.56
02.01.2021 16:00;7.39;51.57;15.98
02.01.2021 17:00;12.69;41.09;20.55
02.01.2021 18:00;44.50;16.82;28.54
02.01.2021 19:00;55.10;7.04;22.55
02.01.2021 20:00;12.69;48.97;12.56
02.01.2021 21:00;11.93;0.00;12.27
02.01.2021 22:00;11.93;0.00;9.99
02.01.2021 23:00;6.63;0.00;5.99
03.01.2021 00:00;6.63;0.00;3.47
03.01.2021 01:00;6.63;0.00;2.52
03.01.2021 02:00;6.63;0.00;1.89
03.01.2021 03:00;6.63;0.00;0.63
03.01.2021 04:00;6.63;0.00;0.63
03.01.2021 05:00;11.93;0.00;1.89
03.01.2021 06:00;44.49;62.95;6.30
03.01.2021 07:00;12.69;93.76;12.92
03.01.2021 08:00;7.39;97.48;20.48
03.01.2021 09:00;7.39;85.76;27.10
03.01.2021 10:00;7.39;75.54;29.94
03.01.2021 11:00;7.40;64.32;31.51
03.01.2021 12:00;44.50;24.11;27.10
03.01.2021 13:00;12.69;49.70;23.32
03.01.2021 14:00;7.39;57.60;18.28
03.01.2021 15:00;7.39;57.92;16.07
03.01.2021 16:00;7.39;59.01;9.14
03.01.2021 17:00;12.69;47.29;17.33
03.01.2021 18:00;44.50;21.68;22.69
03.01.2021 19:00;55.10;12.34;24.58
03.01.2021 20:00;12.69;53.79;12.61
03.01.2021 21:00;11.93;0.00;11.66
03.01.2021 22:00;11.93;0.00;10.71
03.01.2021 23:00;6.63;0.00;5.99
04.01.2021 00:00;6.63;0.00;2.67
04.01.2021 01:00;6.63;0.00;1.33
04.01.2021 02:00;6.63;0.00;0.33
04.01.2021 03:00;6.63;0.00;0.33
04.01.2021 04:00;6.63;0.00;0.67
04.01.2021 05:00;11.93;0.00;12.66
04.01.2021 06:00;44.50;62.77;33.31
04.01.2021 07:00;12.69;93.51;26.98
04.01.2021 08:00;7.39;98.05;22.32
04.01.2021 09:00;7.39;89.44;16.99
04.01.2021 10:00;7.39;80.95;14.99
04.01.2021 11:00;7.39;73.83;13.99
04.01.2021 12:00;44.50;32.03;20.98
04.01.2021 13:00;12.69;55.12;18.65
04.01.2021 14:00;7.39;62.99;10.66
04.01.2021 15:00;7.39;62.54;9.33
04.01.2021 16:00;7.39;63.38;10.66
04.01.2021 17:00;12.69;52.56;18.65
04.01.2021 18:00;44.50;25.49;26.31
04.01.2021 19:00;55.10;14.34;26.65
04.01.2021 20:00;12.69;56.39;20.65
04.01.2021 21:00;11.93;0.00;14.99
04.01.2021 22:00;11.93;0.00;8.33
04.01.2021 23:00;6.63;0.00;6.33
05.01.2021 00:00;6.63;0.00;2.67
05.01.2021 01:00;6.63;0.00;1.33
05.01.2021 02:00;6.63;0.00;0.33
05.01.2021 03:00;6.63;0.00;0.33
05.01.2021 04:00;6.63;0.00;0.67
05.01.2021 05:00;11.93;0.00;12.66
05.01.2021 06:00;44.50;67.95;33.31
05.01.2021 07:00;12.69;99.52;26.98
05.01.2021 08:00;7.39;103.47;22.32
05.01.2021 09:00;7.39;94.21;16.99
05.01.2021 10:00;7.39;84.93;14.99
05.01.2021 11:00;7.39;77.45;13.99
