timestamp;electricityDemand;spaceHeatingDemand;domesticHotWaterDemand
01.01.2021 00:00;0.976;0;0.271
01.01.2021 01:00;0.976;0;0.197
01.01.2021 02:00;0.976;0;0.148
01.01.2021 03:00;0.976;0;0.049
01.01.2021 04:00;0.976;0;0.049
01.01.2021 05:00;1.66;0;0.148
01.01.2021 06:00;5.704;0.95;0.493
01.01.2021 07:00;1.605;4.777;1.01
01.01.2021 08:00;0.922;5.748;1.601
01.01.2021 09:00;0.922;5.341;2.119
01.01.2021 10:00;0.922;4.669;2.34
01.01.2021 11:00;0.923;4.041;2.463
01.01.2021 12:00;5.691;0;2.119
01.01.2021 13:00;1.605;2.064;1.823
01.01.2021 14:00;0.922;3.354;1.429
01.01.2021 15:00;0.922;3.569;1.256
01.01.2021 16:00;0.922;3.876;0.714
01.01.2021 17:00;1.605;3.015;1.355
01.01.2021 18:00;5.691;0;1.774
01.01.2021 19:00;7.058;0;1.921
01.01.2021 20:00;1.66;2.399;0.985
01.01.2021 21:00;1.66;0;0.911
01.01.2021 22:00;1.66;0;0.838
01.01.2021 23:00;0.976;0;0.468
02.01.2021 00:00;0.976;0;0.208
02.01.2021 01:00;0.977;0;0.104
02.01.2021 02:00;0.977;0;0.026
02.01.2021 03:00;0.977;0;0.026
02.01.2021 04:00;0.977;0;0.052
02.01.2021 05:00;1.661;0;0.99
02.01.2021 06:00;5.705;1.889;2.604
02.01.2021 07:00;1.606;5.483;2.109
02.01.2021 08:00;0.922;6.338;1.745
02.01.2021 09:00;0.922;4.988;1.328
02.01.2021 10:00;0.922;4.262;1.172
02.01.2021 11:00;0.922;4.14;1.094
02.01.2021 12:00;5.691;0;1.64
02.01.2021 13:00;1.605;2.968;1.458
02.01.2021 14:00;0.922;4.298;0.833
02.01.2021 15:00;0.922;4.758;0.729
02.01.2021 16:00;0.922;4.693;0.833
02.01.2021 17:00;1.605;3.523;1.458
02.01.2021 18:00;5.692;0;2.057
02.01.2021 19:00;7.058;0;2.083
02.01.2021 20:00;1.66;3.549;1.614
02.01.2021 21:00;1.661;0;1.172
02.01.2021 22:00;1.66;0;0.651
02.01.2021 23:00;0.977;0;0.495
03.01.2021 00:00;0.977;0;0.208
03.01.2021 01:00;0.977;0;0.104
03.01.2021 02:00;0.977;0;0.026
03.01.2021 03:00;0.977;0;0.026
03.01.2021 04:00;0.977;0;0.052
03.01.2021 05:00;1.661;0;0.99
03.01.2021 06:00;5.705;1.964;2.604
03.01.2021 07:00;1.606;5.646;2.109
03.01.2021 08:00;0.922;6.62;1.745
03.01.2021 09:00;0.922;6.284;1.328
03.01.2021 10:00;0.922;6.029;1.172
03.01.2021 11:00;0.922;5.698;1.094
03.01.2021 12:00;5.759;0.317;1.64
03.01.2021 13:00;1.605;4.067;1.458
03.01.2021 14:00;0.922;5.339;0.833
03.01.2021 15:00;0.922;5.307;0.729
03.01.2021 16:00;0.922;6.199;0.833
03.01.2021 17:00;1.605;4.624;1.458
03.01.2021 18:00;5.76;0.797;2.057
03.01.2021 19:00;7.058;0;2.083
03.01.2021 20:00;1.66;4.1;1.614
03.01.2021 21:00;1.661;0;1.172
03.01.2021 22:00;1.661;0;0.651
03.01.2021 23:00;0.978;0;0.495
04.01.2021 00:00;0.977;0;0.208
04.01.2021 01:00;0.978;0;0.104
04.01.2021 02:00;0.978;0;0.026
04.01.2021 03:00;0.978;0;0.026
04.01.2021 04:00;0.978;0;0.052
