timestamp;electricityDemand;spaceHeatingDemand;domesticHotWaterDemand
01.01.2021 00:00;4.968;0;0.271
01.01.2021 01:00;4.968;0;0.197
01.01.2021 02:00;4.968;0;0.148
01.01.2021 03:00;4.968;0;0.049
01.01.2021 04:00;4.968;0;0.049
01.01.2021 05:00;1.643;0;0.148
01.01.2021 06:00;5.632;1.222;0.493
01.01.2021 07:00;1.586;4.995;1.01
01.01.2021 08:00;0.912;5.898;1.601
01.01.2021 09:00;0.912;5.465;2.119
01.01.2021 10:00;0.912;4.783;2.34
01.01.2021 11:00;4.912;4.165;2.463
01.01.2021 12:00;9.622;0;2.119
01.01.2021 13:00;5.586;2.151;1.823
01.01.2021 14:00;4.912;3.343;1.429
01.01.2021 15:00;4.912;3.618;1.256
01.01.2021 16:00;0.911;3.984;0.714
01.01.2021 17:00;1.586;3.133;1.355
01.01.2021 18:00;5.622;0;1.774
01.01.2021 19:00;6.971;0;1.921
01.01.2021 20:00;9.643;2.551;0.985
01.01.2021 21:00;9.643;0;0.911
01.01.2021 22:00;9.643;0;0.838
01.01.2021 23:00;8.968;0;0.468
02.01.2021 00:00;8.968;0;0.208
02.01.2021 01:00;8.969;0;0.104
02.01.2021 02:00;4.969;0;0.026
02.01.2021 03:00;2.569;0;0.026
02.01.2021 04:00;1.769;0;0.052
02.01.2021 05:00;1.644;0;0.99
02.01.2021 06:00;5.633;2.165;2.604
02.01.2021 07:00;1.586;5.705;2.109
02.01.2021 08:00;0.912;6.496;1.745
02.01.2021 09:00;0.912;5.107;1.328
02.01.2021 10:00;0.912;4.369;1.172
02.01.2021 11:00;0.912;4.268;1.094
02.01.2021 12:00;5.622;0;1.64
02.01.2021 13:00;1.586;3.099;1.458
02.01.2021 14:00;0.912;4.416;0.833
02.01.2021 15:00;0.912;4.892;0.729
02.01.2021 16:00;0.912;4.832;0.833
02.01.2021 17:00;1.586;3.668;1.458
02.01.2021 18:00;5.69;0.177;2.057
02.01.2021 19:00;6.971;0;2.083
02.01.2021 20:00;5.644;3.719;1.614
02.01.2021 21:00;9.644;0;1.172
02.01.2021 22:00;9.643;0;0.651
02.01.2021 23:00;8.969;0;0.495
03.01.2021 00:00;8.969;0;0.208
03.01.2021 01:00;8.969;0;0.104
03.01.2021 02:00;4.969;0;0.026
03.01.2021 03:00;2.569;0;0.026
03.01.2021 04:00;1.769;0;0.052
03.01.2021 05:00;1.644;0;0.99
03.01.2021 06:00;5.633;2.244;2.604
03.01.2021 07:00;1.586;5.874;2.109
03.01.2021 08:00;0.912;6.823;1.745
03.01.2021 09:00;0.912;6.472;1.328
03.01.2021 10:00;0.912;6.203;1.172
03.01.2021 11:00;0.912;5.861;1.094
03.01.2021 12:00;5.69;0.546;1.64
03.01.2021 13:00;1.586;4.207;1.458
03.01.2021 14:00;0.912;5.441;0.833
03.01.2021 15:00;0.912;5.404;0.729
03.01.2021 16:00;0.912;6.347;0.833
03.01.2021 17:00;1.586;4.779;1.458
03.01.2021 18:00;5.691;1.009;2.057
03.01.2021 19:00;6.971;0;2.083
03.01.2021 20:00;5.644;4.28;1.614
03.01.2021 21:00;9.644;0;1.172
03.01.2021 22:00;9.644;0;0.651
03.01.2021 23:00;8.97;0;0.495
04.01.2021 00:00;8.97;0;0.208
04.01.2021 01:00;8.97;0;0.104
04.01.2021 02:00;4.97;0;0.026
04.01.2021 03:00;2.57;0;0.026
04.01.2021 04:00;1.77;0;0.052
04.01.2021 05:00;1.645;0;0.99
04.01.2021 06:00;5.633;4.39;2.604
04.01.2021 07:00;1.586;8.097;2.109
04.01.2021 08:00;0.912;8.726;1.745
04.01.2021 09:00;0.912;8.314;1.328
04.01.2021 10:00;0.912;7.709;1.172
04.01.2021 11:00;0.912;7.132;1.094
04.01.2021 12:00;5.69;1.205;1.64
04.01.2021 13:00;1.586;5.572;1.458
04.01.2021 14:00;0.912;6.451;0.833
04.01.2021 15:00;0.912;5.673;0.729
04.01.2021 16:00;0.912;5.606;0.833
04.01.2021 17:00;1.586;4.406;1.458
